Date	Q	M_Debit_x	"	P"	M_Debit_y
1923-07-21	0.582328822189468	0.95	0.0	0.11
1923-07-22	0.6980999598016884	0.78	3.85	0.83
1923-07-23	0.6112716065925231	0.19	0.0	0.97
1923-07-24	0.49897360310866945	0.71	5.1	0.66
1923-07-25	0.6112716065925231	0.85	2.55	0.51
1923-07-26	0.7884014471392202	0.02	0.0	0.48
1923-07-27	0.6402143909955782	0.69	0.0	0.5
1923-07-28	0.47234624145785875	0.13	3.85	0.69
1923-07-29	0.6112716065925231	0.35	5.1	0.67
1923-07-30	0.6402143909955782	0.32	0.0	0.75
1923-07-31	0.44687659118317036	0.47	0.0	0.36
1923-08-01	0.42140694090848185	0.8	0.0	0.13
1923-08-02	0.42140694090848185	0.84	0.0	0.01
1923-08-03	0.3496288355889053	0.63	0.0	0.32
1923-08-04	0.3264746080664612	0.65	0.0	0.55
1923-08-05	0.3067935146723838	0.4	0.0	0.96
1923-08-06	0.7270427442047435	0.48	0.0	0.9
1923-08-07	0.6598954843896556	0.51	3.85	0.32
1923-08-08	0.5533860377864129	0.28	0.0	0.55
1923-08-09	0.44687659118317036	0.26	5.1	0.66
1923-08-10	0.42140694090848185	0.6	2.55	0.94
1923-08-11	0.8520755728259413	0.36	0.0	0.76
1923-08-12	0.18407610880343028	0.24	0.0	0.92
1923-08-13	0.2419616776095404	0.01	0.0	0.43
1923-08-14	0.3496288355889053	0.18	0.0	0.48
1923-08-15	0.42140694090848185	0.07	0.0	0.23
1923-08-16	0.43414176604582605	0.76	14.4	0.02
1923-08-17	0.44687659118317036	0.91	6.35	0.01
1923-08-18	0.4596114163205146	0.26	15.15	0.65
1923-08-19	0.47234624145785875	0.87	6.0	0.52
1923-08-20	0.233857697976685	0.65	6.35	0.1
1923-08-21	0.39593729063379346	0.0	0.0	1.0
1923-08-22	0.49897360310866945	0.42	0.0	0.96
1923-08-23	0.47234624145785875	0.7	0.0	0.26
1923-08-24	0.39593729063379346	0.95	0.0	0.44
1923-08-25	0.39593729063379346	0.41	0.0	0.8
1923-08-26	0.39593729063379346	0.22	0.0	0.24
1923-08-27	0.6112716065925231	0.51	0.0	0.21
1923-08-28	0.6112716065925231	0.56	15.05	0.05
1923-08-29	0.6980999598016884	0.61	0.0	0.18
1923-08-30	0.7884014471392202	0.09	0.0	0.87
1923-08-31	0.8520755728259413	0.16	9.15	0.17
1923-09-01	1.0430979498861048	0.19	0.0	0.98
1923-09-02	0.7884014471392202	0.86	4.4	0.97
1923-09-03	0.582328822189468	0.03	7.35	0.39
1923-09-04	0.6112716065925231	0.52	0.0	0.75
1923-09-05	0.6691571753986333	0.6	7.65	0.6
1923-09-06	0.9157496985126624	0.11	0.0	0.96
1923-09-07	0.8520755728259413	0.39	0.0	0.34
1923-09-08	0.6691571753986333	0.17	0.0	0.15
1923-09-09	0.6691571753986333	0.91	97.55	0.13
1923-09-10	1.586064585287418	0.23	0.0	0.55
1923-09-11	1.180865603644647	0.58	2.25	0.83
1923-09-12	1.5050247889588637	0.82	0.0	0.98
1923-09-13	1.2503282862119791	0.34	0.0	0.69
1923-09-14	1.0430979498861048	0.44	7.95	0.8
1923-09-15	1.6786814953771942	0.14	10.85	0.91
1923-09-16	1.2503282862119791	0.96	0.0	0.19
1923-09-17	1.0998258073160927	0.91	0.0	0.31
1923-09-18	1.3313680825405334	0.32	0.0	0.17
1923-09-19	1.0998258073160927	0.78	0.0	0.46
1923-09-20	1.5050247889588637	0.2	13.0	0.95
1923-09-21	1.5050247889588637	0.54	0.0	0.54
1923-09-22	1.1102452097011926	0.65	0.0	0.42
1923-09-23	0.8520755728259413	0.91	0.0	0.01
1923-09-24	0.7270427442047435	0.37	0.0	0.62
1923-09-25	2.245960069677074	0.93	127.85	0.6
1923-09-26	0.9794238241993836	0.13	1.5	0.68
1923-09-27	0.9794238241993836	0.18	0.0	0.44
1923-09-28	0.7884014471392202	0.05	0.0	0.51
1923-09-29	0.6691571753986333	0.51	0.0	0.5
1923-09-30	0.6402143909955782	0.33	15.35	0.78
1923-10-01	1.7828755192281924	0.02	0.0	0.06
1923-10-02	1.562910357764974	0.44	8.45	0.81
1923-10-03	2.025994908213855	0.37	0.0	0.12
1923-10-04	1.0917218276832374	0.9	0.0	0.54
